City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
hobart,AU,58.26,58,40,7.0,-42.8794,147.3294,1627439606
heinola,FI,64.49,58,100,4.47,61.2056,26.0381,1627439606
pervomayskoye,RU,69.69,56,100,12.19,43.919,46.7102,1627439607
carlsbad,US,88.27,83,40,1.99,33.1581,-117.3506,1627439405
swan river,CA,78.69,57,68,3.44,52.1058,-101.2676,1627439415
kapaa,US,85.98,75,75,3.0,22.0752,-159.319,1627439588
torbay,CA,66.97,95,90,10.36,47.6666,-52.7314,1627439607
east london,ZA,63.9,80,0,12.73,-33.0153,27.9116,1627439607
muzhi,RU,49.23,73,45,7.05,65.3667,64.6667,1627439608
hermanus,ZA,51.91,66,99,12.21,-34.4187,19.2345,1627439608
atuona,PF,77.83,71,1,17.92,-9.8,-139.0333,1627439608
albany,US,67.75,93,100,2.04,42.6001,-73.9662,1627439353
mar del plata,AR,46.13,64,90,10.0,-38.0023,-57.5575,1627439503
daru,PG,77.0,91,99,12.15,-9.0763,143.2092,1627439609
cape town,ZA,52.21,87,20,1.01,-33.9258,18.4232,1627439484
busselton,AU,58.05,68,46,19.93,-33.65,115.3333,1627439609
yeppoon,AU,76.78,57,72,9.55,-23.1333,150.7333,1627439609
seryshevo,RU,80.55,64,52,14.12,51.0933,128.3786,1627439610
sioux lookout,CA,73.78,68,90,0.0,50.1001,-91.917,1627439610
rawson,AR,41.25,67,23,11.23,-43.3002,-65.1023,1627439610
kupang,ID,86.58,45,20,16.11,-10.1667,123.5833,1627439611
nikolskoye,RU,67.8,68,100,4.79,59.7035,30.7861,1627439611
carnarvon,AU,66.27,54,90,8.05,-24.8667,113.6333,1627439611
leeuwarden,NL,64.0,95,90,8.05,53.2014,5.8086,1627439611
port elizabeth,ZA,57.49,82,0,16.11,-33.918,25.5701,1627439596
baoro,CF,67.41,96,100,1.05,5.6667,15.9667,1627439612
dikson,RU,37.31,99,100,12.08,73.5069,80.5464,1627439612
ushuaia,AR,38.86,93,90,4.61,-54.8,-68.3,1627439427
ancud,CL,42.33,86,71,3.51,-41.8697,-73.8203,1627439613
svetlogorsk,BY,63.0,98,98,4.54,52.6333,29.7333,1627439613
xai-xai,MZ,57.04,84,0,7.09,-25.0519,33.6442,1627439613
rikitea,PF,74.21,79,100,15.3,-23.1203,-134.9692,1627439614
punta arenas,CL,44.71,81,75,20.71,-53.15,-70.9167,1627439448
samarai,PG,79.39,86,86,14.23,-10.6167,150.6667,1627439614
pevek,RU,38.44,86,97,9.69,69.7008,170.3133,1627439614
assiniboia,CA,91.31,17,92,10.36,49.6334,-105.9845,1627439614
evensk,RU,61.07,46,76,18.01,61.95,159.2333,1627439615
yellowknife,CA,61.32,48,75,9.22,62.456,-114.3525,1627439406
jamestown,US,69.12,82,1,3.8,42.097,-79.2353,1627439576
bluff,NZ,51.8,70,32,6.6,-46.6,168.3333,1627439615
qaanaaq,GL,42.28,91,98,5.75,77.484,-69.3632,1627439600
vestmannaeyjar,IS,53.13,84,33,2.91,63.4427,-20.2734,1627439616
hithadhoo,MV,80.74,78,61,9.01,-0.6,73.0833,1627439616
